id;assignment;userid;timecreated;timemodified;grader;grade;attemptnumber
149;30;928;1570963502;1580231262;1400;10.0;0
147;28;928;1570962608;1580322832;1400;5.0;0
148;29;928;1570962612;1580324947;1400;10.0;0
2037;37;1235;1580626803;1582032700;1400;15.0;0
2081;35;225;1580764503;1582034889;1400;23.0;0
202;4;1283;1571160603;1573891300;1404;2.0;0
231;4;1395;1571240702;1573891349;1404;6.0;0
2043;37;1286;1580658303;1581256610;1404;15.0;0
217;4;1259;1571216403;1572511704;1404;6.0;0
191;4;1342;1571154302;1572512904;1404;6.0;0
181;4;1348;1571078703;1572513203;1404;6.0;0
198;4;1232;1571156121;1572513327;1404;6.0;0
260;4;1107;1571306402;1572513850;1404;6.0;0
178;4;1015;1571051703;1572514380;1404;6.0;0
183;4;905;1571082302;1572514565;1404;3.0;0
201;4;1352;1571157903;1572514776;1404;3.0;0
243;4;1223;1571256003;1572515427;1404;6.0;0
184;5;905;1571082307;1572516126;1404;5.0;0
180;5;1015;1571053505;1572516464;1404;5.0;0
261;5;1107;1571307302;1572516619;1404;5.0;0
182;5;1348;1571079603;1572516826;1404;5.0;0
209;5;604;1571168709;1572516869;1404;2.0;0
200;5;1232;1571157008;1572516946;1404;5.0;0
192;5;1342;1571155202;1572517130;1404;5.0;0
221;5;1357;1571227202;1572517152;1404;5.0;0
218;5;1259;1571220003;1572517167;1404;5.0;0
185;6;905;1571082310;1572518937;1404;10.0;0
262;6;1107;1571310002;1572519992;1404;10.0;0
188;6;1348;1571082321;1572520537;1404;14.0;0
210;6;604;1571168713;1572520659;1404;10.0;0
247;6;1212;1571258711;1572520697;1404;14.0;0
193;6;1342;1571155205;1572521374;1404;13.0;0
227;6;1357;1571233502;1572521464;1404;12.0;0
230;6;1259;1571237103;1572521500;1404;11.0;0
189;7;314;1571132703;1572528432;1404;15.0;0
263;7;1107;1571314503;1572528451;1404;15.0;0
211;7;604;1571168717;1572528702;1404;15.0;0
248;7;1212;1571258714;1572528723;1404;15.0;0
204;7;1232;1571164202;1572528817;1404;15.0;0
194;7;1342;1571156106;1572529371;1404;15.0;0
264;8;1107;1571314505;1572530783;1404;9.0;0
212;8;604;1571168720;1572531139;1404;6.0;0
249;8;1212;1571258718;1572531162;1404;9.0;0
205;8;1232;1571165102;1572531290;1404;6.0;0
195;8;1342;1571156110;1572531734;1404;9.0;0
186;9;905;1571082314;1572532481;1404;12.0;0
238;9;314;1571250603;1572533054;1404;15.0;0
213;9;604;1571168724;1572533438;1404;15.0;0
250;9;1212;1571258721;1572533538;1404;10.0;0
206;9;1232;1571166902;1572533633;1404;15.0;0
196;9;1342;1571156114;1572534000;1404;15.0;0
234;9;1357;1571246102;1572534044;1404;15.0;0
187;10;905;1571082317;1572535045;1404;18.0;0
214;10;604;1571168727;1572535838;1404;20.0;0
251;10;1212;1571258725;1572535924;1404;17.0;0
207;10;1232;1571168703;1572535999;1404;20.0;0
197;10;1342;1571156117;1572536334;1404;12.0;0
235;10;1357;1571247002;1572536393;1404;6.0;0
215;11;604;1571168731;1572537174;1404;14.0;0
252;11;1212;1571258728;1572537189;1404;10.0;0
216;11;1232;1571168734;1572537225;1404;14.0;0
255;4;369;1571297402;1573891736;1404;6.0;0
237;4;339;1571247902;1573892155;1404;6.0;0
257;5;572;1571298303;1573892845;1404;5.0;0
232;5;1395;1571241603;1573893498;1404;4.0;0
258;5;369;1571298305;1573893625;1404;5.0;0
226;5;339;1571232607;1573894162;1404;5.0;0
254;5;355;1571294702;1573894214;1404;5.0;0
179;5;1267;1571053503;1573894313;1404;5.0;0
219;5;1239;1571225403;1573894324;1404;5.0;0
233;6;1395;1571242503;1573897122;1404;14.0;0
259;6;369;1571299203;1573897375;1404;10.0;0
220;6;1239;1571226302;1573898564;1404;16.0;0
239;7;1395;1571253302;1573899776;1404;15.0;0
223;7;1239;1571228102;1573900987;1404;12.0;0
240;8;1395;1571253306;1573901868;1404;9.0;0
224;8;1239;1571232603;1573902648;1404;9.0;0
241;9;1395;1571254202;1573906407;1404;12.0;0
225;9;1239;1571232606;1573907639;1404;15.0;0
242;10;1395;1571255103;1573908994;1404;9.0;0
228;10;1239;1571233504;1573910389;1404;12.0;0
244;11;1395;1571256008;1573911085;1404;2.0;0
229;11;1239;1571234403;1573911782;1404;12.0;0
1007;15;966;1572813011;1574875497;1400;10.0;0
1008;16;966;1572813015;1574876311;1400;10.0;0
1009;17;966;1572813020;1575279542;1400;8.0;0
1010;18;966;1572813024;1575280042;1400;12.0;0
1011;19;966;1572813028;1575281735;1400;13.0;0
2041;34;1227;1580649302;1582031049;1400;14.0;0
266;4;966;1571324403;1573890775;1404;4.0;0
2082;34;225;1580764507;1582025958;1400;16.0;0
306;4;1097;1571418903;1572513821;1404;6.0;0
274;4;1313;1571336103;1572514089;1404;6.0;0
330;4;877;1571572803;1572514434;1404;5.0;0
345;4;1240;1571587208;1572514846;1404;6.0;0
346;5;1240;1571587210;1572516072;1404;5.0;0
332;5;877;1571574605;1572516471;1404;5.0;0
275;5;1313;1571338803;1572516509;1404;5.0;0
314;5;975;1571564702;1572516734;1404;2.0;0
347;6;1240;1571587212;1572518676;1404;16.0;0
337;6;877;1571577326;1572519639;1404;14.0;0
287;6;1313;1571395501;1572519789;1404;16.0;0
309;6;1097;1571426102;1572520286;1404;14.0;0
315;6;975;1571565603;1572520325;1404;16.0;0
343;6;1022;1571580902;1572520581;1404;16.0;0
312;6;1223;1571553902;1572520750;1404;16.0;0
349;7;1240;1571588105;1572527796;1404;15.0;0
342;7;877;1571578216;1572528276;1404;10.0;0
310;7;1097;1571427002;1572528573;1404;15.0;0
344;7;1223;1571587203;1572528768;1404;10.0;0
351;9;1240;1571588109;1572532311;1404;15.0;0
350;8;1240;1571588107;1572530629;1404;6.0;0
281;9;1107;1571385603;1572533083;1404;15.0;0
293;9;1289;1571408136;1572534068;1404;15.0;0
352;10;1240;1571588111;1572534924;1404;20.0;0
282;10;1107;1571386503;1572535470;1404;20.0;0
348;11;1240;1571588103;1572536746;1404;12.0;0
283;11;1107;1571387403;1572536957;1404;14.0;0
338;4;1229;1571577327;1573892256;1404;6.0;0
289;5;1289;1571408108;1573892876;1404;5.0;0
267;5;966;1571324407;1573893233;1404;5.0;0
339;5;1229;1571577333;1573894227;1404;5.0;0
322;5;69;1571571918;1573894281;1404;4.0;0
290;6;1289;1571408113;1573895966;1404;16.0;0
268;6;966;1571324411;1573896532;1404;14.0;0
276;13;572;1571375702;1574783443;1400;16.0;0
323;6;69;1571571931;1573898437;1404;16.0;0
291;7;1289;1571408123;1573898866;1404;15.0;0
269;7;966;1571324415;1573899227;1404;15.0;0
277;14;572;1571377502;1574783538;1400;14.0;0
324;7;69;1571571945;1573900928;1404;13.0;0
292;8;1289;1571408130;1573901282;1404;9.0;0
270;8;966;1571324419;1573901636;1404;9.0;0
300;8;1198;1571414403;1573902518;1404;9.0;0
271;9;966;1571324423;1573906080;1404;15.0;0
301;9;1198;1571415302;1573907339;1404;15.0;0
336;9;1229;1571577320;1573907451;1404;15.0;0
326;9;69;1571571972;1573907507;1404;15.0;0
294;10;1289;1571408143;1573907934;1404;20.0;0
272;10;966;1571324427;1573908454;1404;16.0;0
302;10;1198;1571416203;1573910084;1404;20.0;0
340;10;1229;1571578203;1573910160;1404;12.0;0
327;10;69;1571571985;1573910285;1404;19.0;0
295;11;1289;1571408148;1573910550;1404;12.0;0
273;11;966;1571324431;1573910768;1404;14.0;0
303;11;1198;1571417102;1573911702;1404;14.0;0
341;11;1229;1571578210;1573911732;1404;12.0;0
328;11;69;1571571998;1573911772;1404;14.0;0
333;6;1229;1571577302;1573913303;1404;14.0;0
334;7;1229;1571577308;1573913356;1404;15.0;0
278;15;572;1571378403;1574783629;1400;9.0;0
279;16;572;1571378406;1574783946;1400;8.0;0
280;17;572;1571380203;1574784008;1400;10.0;0
284;18;572;1571389203;1574784105;1400;14.0;0
285;19;572;1571391002;1574784718;1400;8.0;0
286;20;572;1571391005;1574784996;1400;4.0;0
296;13;1292;1571409002;1575188838;1404;11.0;0
313;13;436;1571558403;1575189745;1404;12.0;0
297;14;1292;1571412603;1575190540;1404;15.0;0
316;14;436;1571566502;1575191224;1404;15.0;0
317;15;436;1571566505;1575192293;1404;10.0;0
298;15;1292;1571412606;1575191953;1404;10.0;0
299;16;1292;1571413503;1575193530;1404;10.0;0
318;16;436;1571568302;1575193884;1404;8.0;0
307;17;1292;1571418905;1575194445;1404;8.0;0
319;17;436;1571568305;1575194745;1404;6.0;0
308;18;1292;1571423402;1575195280;1404;10.0;0
320;18;436;1571569202;1575195629;1404;15.0;0
304;19;1292;1571417105;1575196238;1404;16.0;0
329;19;436;1571572012;1575196893;1404;13.0;0
305;20;1292;1571417107;1575197692;1404;3.0;0
331;20;436;1571574602;1575198174;1404;5.0;0
1012;20;966;1572813033;1575283320;1400;2.0;0
409;31;928;1571697003;1580744013;1400;10.0;0
401;4;1334;1571682603;1573890877;1404;6.0;0
380;4;1272;1571667303;1572512800;1404;6.0;0
412;4;1020;1571719503;1572514051;1404;6.0;0
375;4;1398;1571650203;1572514675;1404;0.0;0
367;4;1295;1571599803;1572514820;1404;6.0;0
422;4;594;1571730327;1572515596;1404;6.0;0
421;5;594;1571730324;1572516116;1404;5.0;0
413;5;1020;1571719507;1572516496;1404;5.0;0
388;5;712;1571668203;1572517010;1404;5.0;0
381;5;1272;1571667307;1572517110;1404;2.0;0
368;6;1295;1571601603;1572518435;1404;13.0;0
420;6;594;1571730320;1572518820;1404;14.0;0
378;6;1398;1571652903;1572519054;1404;14.0;0
414;6;1020;1571719510;1572519758;1404;16.0;0
434;6;712;1571746502;1572521010;1404;16.0;0
382;6;1272;1571667311;1572521289;1404;16.0;0
370;7;1295;1571602503;1572527711;1404;15.0;0
419;7;594;1571730317;1572527980;1404;15.0;0
391;7;1398;1571673603;1572528025;1404;15.0;0
365;7;975;1571596203;1572528601;1404;15.0;0
435;7;712;1571748303;1572529187;1404;12.0;0
383;7;1272;1571667316;1572529323;1404;15.0;0
366;8;975;1571598903;1572530921;1404;9.0;0
411;8;1223;1571718603;1572531197;1404;9.0;0
384;8;1272;1571667319;1572531709;1404;9.0;0
372;9;1295;1571604302;1572532240;1404;15.0;0
371;8;1295;1571602507;1572530626;1404;9.0;0
417;9;594;1571730310;1572532406;1404;12.0;0
360;9;877;1571592603;1572532731;1404;15.0;0
369;9;975;1571601607;1572533236;1404;13.0;0
385;9;1272;1571667323;1572533954;1404;15.0;0
415;10;594;1571730302;1572535001;1404;20.0;0
362;10;877;1571593506;1572535270;1404;11.0;0
407;10;975;1571689802;1572535567;1404;20.0;0
386;10;1272;1571667328;1572536257;1404;20.0;0
373;11;1295;1571604307;1572536729;1404;10.0;0
416;11;594;1571730307;1572536823;1404;10.0;0
363;11;877;1571593508;1572536921;1404;14.0;0
408;11;975;1571690702;1572537096;1404;14.0;0
387;11;1272;1571667333;1572537335;1404;10.0;0
405;4;1340;1571687103;1573891175;1404;3.0;0
402;4;1430;1571682606;1573892161;1404;6.0;0
395;4;1373;1571676305;1573892609;1404;6.0;0
430;5;1261;1571742005;1573892992;1404;5.0;0
406;5;1340;1571688003;1573893393;1404;4.0;0
394;5;1373;1571676302;1573893548;1404;5.0;0
400;5;1343;1571678105;1573894189;1404;5.0;0
432;6;1261;1571743802;1573896257;1404;15.0;0
392;6;1373;1571675403;1573897228;1404;16.0;0
404;6;1343;1571683502;1573898233;1404;12.0;0
423;6;355;1571733902;1573898331;1404;14.0;0
436;7;1261;1571754603;1573899070;1404;13.0;0
374;7;106;1571634902;1573899834;1404;15.0;0
396;7;1373;1571677203;1573899868;1404;15.0;0
410;7;1343;1571699702;1573900586;1404;15.0;0
425;7;355;1571735702;1573900652;1404;13.0;0
428;8;1343;1571741103;1573902468;1404;9.0;0
438;9;1261;1571755505;1573905910;1404;12.0;0
403;9;1334;1571682607;1573906273;1404;12.0;0
431;9;1343;1571742903;1573907307;1404;15.0;0
397;9;1373;1571677205;1573906449;1404;15.0;0
426;9;355;1571736603;1573907372;1404;14.0;0
440;10;1261;1571756402;1573908239;1404;10.0;0
390;10;1334;1571670002;1573908791;1404;9.0;0
398;10;1373;1571677207;1573909072;1404;14.0;0
433;10;1343;1571743805;1573910031;1404;12.0;0
389;11;1334;1571669102;1573910942;1404;8.0;0
399;11;1373;1571678102;1573911111;1404;12.0;0
427;11;355;1571737502;1573911708;1404;14.0;0
353;13;1240;1571589002;1575189042;1404;12.0;0
354;14;1240;1571589005;1575190938;1404;10.0;0
355;15;1240;1571589007;1575192119;1404;10.0;0
356;16;1240;1571589903;1575193636;1404;9.0;0
357;17;1240;1571589905;1575194571;1404;6.0;0
358;18;1240;1571589907;1575195371;1404;10.0;0
361;19;1240;1571593503;1575196517;1404;16.0;0
364;20;1240;1571593509;1575197813;1404;5.0;0
1014;15;1321;1572877803;1575287017;1400;0.0;0
1015;17;1321;1572880503;1575300660;1400;10.0;0
1016;18;1321;1572881402;1575301392;1400;12.0;0
1017;19;1321;1572883202;1575302762;1400;6.0;0
439;14;1198;1571755507;1575305900;1400;15.0;0
1013;22;572;1572840903;1580228250;1400;20.0;0
466;4;1400;1571823003;1573890803;1404;6.0;0
2045;36;1330;1580661002;1581255659;1404;25.0;0
2046;37;1330;1580661016;1581256417;1404;15.0;0
518;4;1285;1571942702;1572514691;1404;6.0;0
478;4;981;1571838303;1572515027;1404;6.0;0
479;5;981;1571839203;1572515861;1404;5.0;0
450;5;287;1571763608;1572515990;1404;5.0;0
458;5;1295;1571776203;1572516030;1404;5.0;0
519;5;1285;1571944502;1572516207;1404;5.0;0
494;5;468;1571856303;1572517143;1404;5.0;0
480;6;981;1571839206;1572517927;1404;16.0;0
451;6;287;1571763612;1572518168;1404;14.0;0
520;6;1285;1571946302;1572519106;1404;16.0;0
515;6;939;1571939102;1572520940;1404;12.0;0
489;6;468;1571845503;1572521428;1404;10.0;0
506;7;1314;1571900403;1572528113;1404;15.0;0
483;7;981;1571841902;1572527500;1404;15.0;0
514;7;939;1571938202;1572529062;1404;12.0;0
490;7;468;1571846403;1572529396;1404;15.0;0
511;7;1259;1571911202;1572529412;1404;15.0;0
512;8;939;1571933702;1572531381;1404;9.0;0
485;9;981;1571842803;1572532061;1404;15.0;0
454;9;287;1571764507;1572532157;1404;15.0;0
484;8;981;1571841905;1572530601;1404;3.0;0
453;8;287;1571764502;1572530617;1404;4.0;0
522;9;1398;1571986802;1572532583;1404;12.0;0
464;9;1314;1571822103;1572532651;1404;15.0;0
465;9;1313;1571822108;1572532953;1404;15.0;0
456;9;1223;1571769902;1572533579;1404;15.0;0
513;9;939;1571936403;1572533798;1404;15.0;0
455;10;287;1571765403;1572534762;1404;18.0;0
459;10;1295;1571776209;1572534847;1404;18.0;0
523;10;1398;1571987702;1572535113;1404;13.0;0
475;10;1314;1571825702;1572535178;1404;20.0;0
474;10;1313;1571823902;1572535384;1404;12.0;0
457;10;1223;1571772602;1572535960;1404;20.0;0
524;11;1398;1571988603;1572536860;1404;14.0;0
508;4;998;1571904008;1573891199;1404;6.0;0
460;4;567;1571814003;1573891586;1404;6.0;0
505;4;1227;1571894102;1573892004;1404;3.0;0
497;4;1216;1571857211;1573892366;1404;3.0;0
477;5;325;1571835603;1573893008;1404;5.0;0
467;5;1400;1571823007;1573893252;1404;5.0;0
509;5;998;1571904902;1573893454;1404;0.0;0
461;5;567;1571815803;1573893517;1404;5.0;0
444;5;1321;1571758203;1573893649;1404;5.0;0
527;5;1002;1571995806;1573893710;1404;5.0;0
498;5;1216;1571857214;1573894300;1404;5.0;0
491;6;325;1571851803;1573896287;1404;16.0;0
468;6;1400;1571823010;1573896594;1404;15.0;0
462;6;567;1571818503;1573897176;1404;14.0;0
482;6;1321;1571840105;1573897461;1404;10.0;0
528;6;1002;1571995808;1573897518;1404;12.0;0
504;6;1227;1571890503;1573897952;1404;10.0;0
499;6;1216;1571857217;1573898513;1404;12.0;0
492;7;325;1571852703;1573899088;1404;15.0;0
469;7;1400;1571823015;1573899264;1404;12.0;0
525;7;567;1571994003;1573899815;1404;15.0;0
481;7;1321;1571840102;1573900017;1404;15.0;0
521;7;1227;1571976003;1573900455;1404;15.0;0
496;7;1216;1571857207;1573900949;1404;15.0;0
503;8;325;1571868003;1573901535;1404;9.0;0
445;8;1261;1571758206;1573901511;1404;9.0;0
470;8;1400;1571823018;1573901690;1404;6.0;0
486;8;1321;1571843702;1573902059;1404;9.0;0
502;9;325;1571867102;1573905940;1404;15.0;0
488;9;1321;1571843707;1573906609;1404;15.0;0
500;9;1216;1571857222;1573907613;1404;8.0;0
501;10;325;1571863502;1573908259;1404;20.0;0
472;10;1400;1571823025;1573908500;1404;12.0;0
495;10;1216;1571857203;1573910356;1404;12.0;0
442;11;1261;1571757303;1573910695;1404;6.0;0
493;11;325;1571854503;1573910710;1404;10.0;0
473;11;1400;1571823028;1573910794;1404;10.0;0
448;11;1343;1571760003;1573911653;1404;12.0;0
1032;15;176;1573050603;1575286477;1400;10.0;0
441;15;1198;1571756405;1575287372;1400;10.0;0
1033;16;176;1573050607;1575293179;1400;10.0;0
1034;17;176;1573050611;1575293592;1400;10.0;0
517;20;1198;1571940905;1575304813;1400;6.0;0
443;16;1198;1571757305;1575390041;1400;10.0;0
446;17;1198;1571758208;1575391015;1400;8.0;0
447;18;1198;1571758210;1575392739;1400;15.0;0
516;19;1198;1571940902;1575393893;1400;14.0;0
542;4;1009;1572021903;1573891193;1404;6.0;0
2048;33;1330;1580661031;1581252923;1404;10.0;0
614;4;1238;1572104718;1572512776;1404;6.0;0
534;4;1316;1572010203;1572514353;1404;6.0;0
593;4;1355;1572082203;1572514792;1404;6.0;0
599;5;1355;1572083122;1572516001;1404;5.0;0
537;5;1316;1572011110;1572516427;1404;0.0;0
586;5;1338;1572079508;1572516959;1404;5.0;0
615;5;1238;1572111002;1572517074;1404;5.0;0
600;6;1355;1572083126;1572518269;1404;13.0;0
539;6;1316;1572014703;1572519517;1404;16.0;0
587;6;1338;1572080402;1572520852;1404;16.0;0
594;7;1355;1572083102;1572527657;1404;15.0;0
549;7;1285;1572028203;1572528059;1404;15.0;0
588;7;1338;1572080414;1572528870;1404;15.0;0
589;8;1338;1572080419;1572531318;1404;9.0;0
597;9;1355;1572083114;1572532182;1404;15.0;0
551;9;1285;1572030902;1572532614;1404;15.0;0
595;8;1355;1572083107;1572530620;1404;6.0;0
590;9;1338;1572080425;1572533671;1404;15.0;0
535;10;981;1572011103;1572534596;1404;18.0;0
596;10;1355;1572083111;1572534782;1404;20.0;0
552;10;1285;1572031802;1572535151;1404;20.0;0
591;10;1338;1572080430;1572536082;1404;14.0;0
538;11;981;1572013802;1572536611;1404;14.0;0
598;11;1355;1572083118;1572536689;1404;14.0;0
553;11;1285;1572032702;1572536867;1404;14.0;0
536;11;1223;1572011106;1572537213;1404;14.0;0
592;11;1338;1572080436;1572537245;1404;10.0;0
606;4;1294;1572104702;1573891730;1404;4.0;0
616;4;1218;1572111004;1573891920;1404;3.0;0
568;4;1304;1572075003;1573892616;1404;6.0;0
577;5;1152;1572076806;1573892934;1404;5.0;0
607;5;1294;1572104705;1573893618;1404;4.0;0
604;5;1374;1572093905;1573893784;1404;5.0;0
578;6;1152;1572076808;1573896119;1404;14.0;0
